======================================================================
TinyFold Training
======================================================================
Started: 2026-01-20 00:34:18
Script: C:\Users\costa\src\tinyfold\scripts\train.py
Command: python scripts/train.py --model af3_style --noise_type gaussian --n_steps 100000 --n_train 5000 --n_test 500 --eval_every 5000 --output_dir outputs/af3_15M_gaussian_5K --h_dim 128 --n_layers 6 --batch_size 32 --grad_accum 4 --lr 1e-3 --min_atoms 320 --max_atoms 1000

Configuration:
  output_dir:  outputs/af3_15M_gaussian_5K
  n_train:     5000
  n_test:      500
  batch_size:  32
  grad_accum:  4
  eff_batch:   128
  n_steps:     100000
  eval_every:  5000
  lr:          0.001
  model:       af3_style
  h_dim:       128
  n_layers:    6
  schedule:    linear
  noise_type:  gaussian
  noise_scale: 0.1
  T:           50

Device: cuda
  GPU: NVIDIA GeForce RTX 4070 Ti SUPER

Data split (seed=42):
  Eligible samples (320-1000 atoms): 5840
  Training: 5000 samples
  Test: 500 samples (held out, never seen during training)
  Train IDs: ['1r4p.pdb1_5', '2xf7.pdb1_5', '4hi2.pdb1_13']...
  Test IDs:  ['1dm0.pdb1_8', '2wg6.pdb2_2', '4qyb.pdb1_0']...

Preloading samples...
  Loaded 5000 train, 500 test samples
Model: af3_style
  Parameters: 14,898,179

Diffusion:
  Schedule: linear
  Noise type: gaussian

Training for 100000 steps...
======================================================================
Step   100 | loss: 0.727031 | lr: 1.00e-03 | 57s
Step   200 | loss: 0.550319 | lr: 1.00e-03 | 114s
Step   300 | loss: 0.762587 | lr: 1.00e-03 | 172s
Step   400 | loss: 0.403189 | lr: 1.00e-03 | 229s
Step   500 | loss: 0.372079 | lr: 1.00e-03 | 286s
Step   600 | loss: 0.319996 | lr: 1.00e-03 | 343s
Step   700 | loss: 0.296435 | lr: 1.00e-03 | 400s
Step   800 | loss: 0.350154 | lr: 1.00e-03 | 458s
Step   900 | loss: 0.290883 | lr: 1.00e-03 | 515s
Step  1000 | loss: 0.280288 | lr: 1.00e-03 | 572s
Step  1100 | loss: 0.274522 | lr: 1.00e-03 | 629s
Step  1200 | loss: 0.297058 | lr: 1.00e-03 | 686s
Step  1300 | loss: 0.293633 | lr: 1.00e-03 | 744s
Step  1400 | loss: 0.294430 | lr: 1.00e-03 | 804s
Step  1500 | loss: 0.343104 | lr: 9.99e-04 | 864s
Step  1600 | loss: 0.315213 | lr: 9.99e-04 | 922s
Step  1700 | loss: 0.332950 | lr: 9.99e-04 | 979s
Step  1800 | loss: 0.283284 | lr: 9.99e-04 | 1037s
Step  1900 | loss: 0.319531 | lr: 9.99e-04 | 1095s
Step  2000 | loss: 0.285029 | lr: 9.99e-04 | 1152s
Step  2100 | loss: 0.346579 | lr: 9.99e-04 | 1211s
Step  2200 | loss: 0.258124 | lr: 9.99e-04 | 1273s
Step  2300 | loss: 0.287786 | lr: 9.99e-04 | 1333s
Step  2400 | loss: 0.293230 | lr: 9.99e-04 | 1390s
Step  2500 | loss: 0.289002 | lr: 9.98e-04 | 1447s
Step  2600 | loss: 0.269633 | lr: 9.98e-04 | 1504s
Step  2700 | loss: 0.245201 | lr: 9.98e-04 | 1561s
Step  2800 | loss: 0.255536 | lr: 9.98e-04 | 1619s
Step  2900 | loss: 0.214030 | lr: 9.98e-04 | 1676s
Step  3000 | loss: 0.270307 | lr: 9.98e-04 | 1733s
Step  3100 | loss: 0.216689 | lr: 9.98e-04 | 1790s
Step  3200 | loss: 0.294676 | lr: 9.98e-04 | 1847s
Step  3300 | loss: 0.268187 | lr: 9.97e-04 | 1904s
Step  3400 | loss: 0.259773 | lr: 9.97e-04 | 1962s
Step  3500 | loss: 0.252513 | lr: 9.97e-04 | 2019s
Step  3600 | loss: 0.234743 | lr: 9.97e-04 | 2076s
Step  3700 | loss: 0.272048 | lr: 9.97e-04 | 2133s
Step  3800 | loss: 0.239911 | lr: 9.96e-04 | 2191s
Step  3900 | loss: 0.228051 | lr: 9.96e-04 | 2248s
Step  4000 | loss: 0.243358 | lr: 9.96e-04 | 2305s
Step  4100 | loss: 0.216519 | lr: 9.96e-04 | 2362s
Step  4200 | loss: 0.209472 | lr: 9.96e-04 | 2419s
Step  4300 | loss: 0.267982 | lr: 9.95e-04 | 2477s
Step  4400 | loss: 0.216779 | lr: 9.95e-04 | 2534s
Step  4500 | loss: 0.203151 | lr: 9.95e-04 | 2591s
Step  4600 | loss: 0.275793 | lr: 9.95e-04 | 2648s
Step  4700 | loss: 0.204190 | lr: 9.95e-04 | 2706s
Step  4800 | loss: 0.239849 | lr: 9.94e-04 | 2763s
Step  4900 | loss: 0.179509 | lr: 9.94e-04 | 2820s
Step  5000 | loss: 0.223245 | lr: 9.94e-04 | 2877s
         >>> Train RMSE (200): 18.1838 A | Test RMSE (500): 18.4427 A
         >>> Saved plot: outputs/af3_15M_gaussian_5K\plots\step_005000.png
         >>> New best test RMSE! Saved.
Step  5100 | loss: 0.199244 | lr: 9.94e-04 | 3354s
Step  5200 | loss: 0.222470 | lr: 9.93e-04 | 3411s
Step  5300 | loss: 0.193982 | lr: 9.93e-04 | 3468s
Step  5400 | loss: 0.155484 | lr: 9.93e-04 | 3525s
Step  5500 | loss: 0.207304 | lr: 9.93e-04 | 3582s
Step  5600 | loss: 0.171925 | lr: 9.92e-04 | 3641s
Step  5700 | loss: 0.215901 | lr: 9.92e-04 | 3699s
Step  5800 | loss: 0.182354 | lr: 9.92e-04 | 3756s
Step  5900 | loss: 0.229933 | lr: 9.92e-04 | 3812s
Step  6000 | loss: 0.183790 | lr: 9.91e-04 | 3869s
Step  6100 | loss: 0.200828 | lr: 9.91e-04 | 3926s
Step  6200 | loss: 0.178463 | lr: 9.91e-04 | 3983s
Step  6300 | loss: 0.190973 | lr: 9.90e-04 | 4040s
Step  6400 | loss: 0.171380 | lr: 9.90e-04 | 4097s
Step  6500 | loss: 0.196481 | lr: 9.90e-04 | 4154s
Step  6600 | loss: 0.171624 | lr: 9.89e-04 | 4210s
Step  6700 | loss: 0.187055 | lr: 9.89e-04 | 4267s
Step  6800 | loss: 0.205425 | lr: 9.89e-04 | 4324s
Step  6900 | loss: 0.158842 | lr: 9.88e-04 | 4381s
Step  7000 | loss: 0.201957 | lr: 9.88e-04 | 4438s
Step  7100 | loss: 0.160813 | lr: 9.88e-04 | 4495s
Step  7200 | loss: 0.188957 | lr: 9.87e-04 | 4552s
Step  7300 | loss: 0.161573 | lr: 9.87e-04 | 4609s
Step  7400 | loss: 0.185892 | lr: 9.87e-04 | 4666s
Step  7500 | loss: 0.175260 | lr: 9.86e-04 | 4723s
Step  7600 | loss: 0.177768 | lr: 9.86e-04 | 4780s
Step  7700 | loss: 0.143833 | lr: 9.86e-04 | 4837s
Step  7800 | loss: 0.151374 | lr: 9.85e-04 | 4894s
Step  7900 | loss: 0.147904 | lr: 9.85e-04 | 4951s
Step  8000 | loss: 0.135021 | lr: 9.84e-04 | 5008s
Step  8100 | loss: 0.141789 | lr: 9.84e-04 | 5065s
Step  8200 | loss: 0.179050 | lr: 9.84e-04 | 5122s
Step  8300 | loss: 0.131642 | lr: 9.83e-04 | 5178s
Step  8400 | loss: 0.151601 | lr: 9.83e-04 | 5235s
Step  8500 | loss: 0.113149 | lr: 9.82e-04 | 5292s
Step  8600 | loss: 0.164887 | lr: 9.82e-04 | 5349s
Step  8700 | loss: 0.139410 | lr: 9.82e-04 | 5406s
Step  8800 | loss: 0.126329 | lr: 9.81e-04 | 5463s
Step  8900 | loss: 0.125000 | lr: 9.81e-04 | 5520s
Step  9000 | loss: 0.154389 | lr: 9.80e-04 | 5577s
Step  9100 | loss: 0.131820 | lr: 9.80e-04 | 5634s
Step  9200 | loss: 0.114895 | lr: 9.79e-04 | 5690s
Step  9300 | loss: 0.125357 | lr: 9.79e-04 | 5747s
Step  9400 | loss: 0.132095 | lr: 9.79e-04 | 5804s
Step  9500 | loss: 0.126491 | lr: 9.78e-04 | 5861s
Step  9600 | loss: 0.103587 | lr: 9.78e-04 | 5918s
Step  9700 | loss: 0.106273 | lr: 9.77e-04 | 5975s
Step  9800 | loss: 0.147139 | lr: 9.77e-04 | 6031s
Step  9900 | loss: 0.108919 | lr: 9.76e-04 | 6088s
Step 10000 | loss: 0.127990 | lr: 9.76e-04 | 6145s
